filepath,filename,genre
./data/music\dangdut\Arsinta - Merayu Tuhan.mp3,Arsinta - Merayu Tuhan.mp3,dangdut
./data/music\dangdut\arsinta kau tercipta.mp3,arsinta kau tercipta.mp3,dangdut
./data/music\dangdut\ARSINTA SANES (mp3cut.net).mp3,ARSINTA SANES (mp3cut.net).mp3,dangdut
./data/music\dangdut\Dadi Siji - Ajeng Febria (mp3cut.net).mp3,Dadi Siji - Ajeng Febria (mp3cut.net).mp3,dangdut
./data/music\dangdut\Denny Caknan Cundamani (mp3cut.net).mp3,Denny Caknan Cundamani (mp3cut.net).mp3,dangdut
./data/music\dangdut\Denny Caknan Dumes feat Wawes (mp3cut.net).mp3,Denny Caknan Dumes feat Wawes (mp3cut.net).mp3,dangdut
./data/music\dangdut\DENNY CAKNAN FEAT. GILGA SAHID - NEMEN (OFFICIAL LIVE MUSIC).mp3,DENNY CAKNAN FEAT. GILGA SAHID - NEMEN (OFFICIAL LIVE MUSIC).mp3,dangdut
./data/music\dangdut\Denny Caknan Gelombang Asmoro feat Niken Salindry DC Musik (mp3cut.net).mp3,Denny Caknan Gelombang Asmoro feat Niken Salindry DC Musik (mp3cut.net).mp3,dangdut
./data/music\dangdut\Denny Caknan Ketintang New Version feat Nopek Novian DC Musik (mp3cut.net).mp3,Denny Caknan Ketintang New Version feat Nopek Novian DC Musik (mp3cut.net).mp3,dangdut
./data/music\dangdut\DESY MORENA KANGEN SETENGAH MATI (mp3cut.net).mp3,DESY MORENA KANGEN SETENGAH MATI (mp3cut.net).mp3,dangdut
./data/music\dangdut\DUMES - ARSINTA - GOYANG ESEK ESEK (mp3cut.net).mp3,DUMES - ARSINTA - GOYANG ESEK ESEK (mp3cut.net).mp3,dangdut
./data/music\dangdut\GUYON WATON - PELANGGARAN _ LIRIK LAGU TERJEMAHAN.mp3,GUYON WATON - PELANGGARAN _ LIRIK LAGU TERJEMAHAN.mp3,dangdut
./data/music\dangdut\Happy Asmara Banyu Moto feat Delva Irawan Bintang Fortuna (mp3cut.net).mp3,Happy Asmara Banyu Moto feat Delva Irawan Bintang Fortuna (mp3cut.net).mp3,dangdut
./data/music\dangdut\Happy Asmara Berlayar Tak Bertepian (Sepi Sekuntum Mawar Merah) (mp3cut.net).mp3,Happy Asmara Berlayar Tak Bertepian (Sepi Sekuntum Mawar Merah) (mp3cut.net).mp3,dangdut
./data/music\dangdut\Happy Asmara Kisinan (mp3cut.net).mp3,Happy Asmara Kisinan (mp3cut.net).mp3,dangdut
./data/music\dangdut\Happy Asmara Nemen feat Delva Irawan (mp3cut.net).mp3,Happy Asmara Nemen feat Delva Irawan (mp3cut.net).mp3,dangdut
./data/music\dangdut\Happy Asmara Sia Sia Mengharap Cintamu ft Delva (mp3cut.net).mp3,Happy Asmara Sia Sia Mengharap Cintamu ft Delva (mp3cut.net).mp3,dangdut
./data/music\dangdut\Happy Asmara Terendap Laraku (mp3cut.net).mp3,Happy Asmara Terendap Laraku (mp3cut.net).mp3,dangdut
./data/music\dangdut\Icha Kiswara and David Chandra Demi Kowe ft Ageng Music (mp3cut.net).mp3,Icha Kiswara and David Chandra Demi Kowe ft Ageng Music (mp3cut.net).mp3,dangdut
./data/music\dangdut\Jihan Audy Joko Tingkir (mp3cut.net).mp3,Jihan Audy Joko Tingkir (mp3cut.net).mp3,dangdut
./data/music\dangdut\KISINAN - GOYANG ESEK ESEK (Official Music Video ) Tiwas Tak Gondeli Tenanan (mp3cut.net).mp3,KISINAN - GOYANG ESEK ESEK (Official Music Video ) Tiwas Tak Gondeli Tenanan (mp3cut.net).mp3,dangdut
