filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,genre
Arsinta - Merayu Tuhan.mp3,-169.91585,193.69833,-28.323154,31.64279,8.877258,-9.048007,14.148567,-4.512631,-0.08679516,-1.0204383,-6.419457,-0.94216126,-3.3027976,dangdut
arsinta kau tercipta.mp3,-183.94926,200.09767,-15.292577,9.799337,7.044727,-2.3571672,9.675265,-5.8550606,-0.33412653,2.1607287,-2.9166489,-0.52585983,-4.1955967,dangdut
ARSINTA SANES (mp3cut.net).mp3,-171.43672,193.96712,-27.882788,42.21159,-1.3621984,-3.5821779,10.0937,-11.54007,10.512544,-9.484435,-0.63096464,8.320788,-16.661844,dangdut
Dadi Siji - Ajeng Febria (mp3cut.net).mp3,-167.1209,187.2371,-29.495646,28.495008,0.8365541,0.24658127,9.342673,-12.763847,7.6242533,-2.568941,1.140968,4.6600647,-10.286137,dangdut
Denny Caknan Cundamani (mp3cut.net).mp3,-45.18783,118.493195,-8.04651,26.653387,12.221665,-3.3566191,-4.000502,6.328742,-2.505959,8.914479,-0.004542159,3.8196087,-3.9479122,dangdut
Denny Caknan Dumes feat Wawes (mp3cut.net).mp3,-42.424747,102.332115,6.8959327,11.755195,-0.35292503,3.1773987,-2.7209384,0.20380527,-3.5881288,1.9180647,-2.3661816,2.200694,0.351374,dangdut
DENNY CAKNAN FEAT. GILGA SAHID - NEMEN (OFFICIAL LIVE MUSIC).mp3,-59.33815,132.44077,1.0473049,30.48689,13.248307,-1.0529134,-2.0256689,2.8105676,-2.6115615,5.28597,0.07066529,-1.3059965,-1.4144652,dangdut
Denny Caknan Gelombang Asmoro feat Niken Salindry DC Musik (mp3cut.net).mp3,-52.20508,96.16859,-0.65218407,22.132305,16.081137,6.3381166,11.377426,3.9279308,1.0219104,12.265631,-4.6385837,10.346459,5.1119466,dangdut
Denny Caknan Ketintang New Version feat Nopek Novian DC Musik (mp3cut.net).mp3,-69.7785,116.86793,-0.17801163,23.959497,8.808095,6.080241,6.75583,14.698689,1.7625672,14.404377,5.785085,9.356961,4.252,dangdut
DESY MORENA KANGEN SETENGAH MATI (mp3cut.net).mp3,-205.62355,155.6923,-75.3817,69.865456,-17.09892,1.6608448,16.820694,-23.828552,24.556181,-8.065944,0.45448005,10.892672,-9.348252,dangdut
DUMES - ARSINTA - GOYANG ESEK ESEK (mp3cut.net).mp3,-203.78308,189.67638,-5.812301,31.827082,2.199057,-4.5149946,16.719696,-0.72485095,0.9614511,-1.4255719,-0.40624356,-2.7500567,-3.5378878,dangdut
GUYON WATON - PELANGGARAN _ LIRIK LAGU TERJEMAHAN.mp3,-62.593266,95.46005,0.70068544,21.262604,6.4463005,3.37476,2.1870914,0.96038026,1.4937551,5.434531,-0.91057914,2.195464,-2.3384092,dangdut
Happy Asmara Banyu Moto feat Delva Irawan Bintang Fortuna (mp3cut.net).mp3,-125.75982,106.06146,14.666401,23.108646,4.800364,-9.488157,-1.6115124,2.9984574,-4.3573813,2.2647228,1.3506404,1.3062009,-1.4631023,dangdut
Happy Asmara Berlayar Tak Bertepian (Sepi Sekuntum Mawar Merah) (mp3cut.net).mp3,-37.010296,71.74742,10.083955,23.500284,5.552128,6.41612,5.441608,2.78626,-3.0712633,6.405302,-6.8819895,4.825672,0.005596527,dangdut
Happy Asmara Kisinan (mp3cut.net).mp3,-82.64705,104.93663,0.12745714,17.096613,1.9570565,2.059252,1.2193537,-0.2049322,0.41300818,3.2182856,-1.5947455,1.5435803,-4.7308855,dangdut
Happy Asmara Nemen feat Delva Irawan (mp3cut.net).mp3,-106.2106,92.77745,8.054373,15.972478,-6.7846966,6.8893085,-2.2993798,15.397225,-4.1940036,10.385036,2.8485904,8.132457,1.044394,dangdut
Happy Asmara Sia Sia Mengharap Cintamu ft Delva (mp3cut.net).mp3,-91.852394,95.73816,4.3499866,17.806738,2.27045,3.8807127,4.345313,-7.078852,4.050214,7.784137,-3.0087204,5.465003,2.7758694,dangdut
Happy Asmara Terendap Laraku (mp3cut.net).mp3,-103.59532,109.3793,8.336947,24.896883,3.6104128,2.2013445,4.953813,-3.2430453,-1.0380206,4.5010133,-3.4846842,2.9198532,-5.951186,dangdut
Icha Kiswara and David Chandra Demi Kowe ft Ageng Music (mp3cut.net).mp3,-55.61668,76.63424,9.873656,15.961814,-5.77051,11.636692,-1.8454227,-3.413858,-3.4923708,3.7792773,-8.428816,3.4090273,-3.7744012,dangdut
Jihan Audy Joko Tingkir (mp3cut.net).mp3,-62.64534,97.495056,0.97176474,22.339527,7.4508634,8.372974,4.6812387,2.0711522,1.8803957,5.692945,0.22135997,2.6418548,-1.0231184,dangdut
KISINAN - GOYANG ESEK ESEK (Official Music Video ) Tiwas Tak Gondeli Tenanan (mp3cut.net).mp3,-181.78526,191.1665,-38.96687,10.343092,-5.1386347,-8.147792,7.2838836,-17.616083,2.765764,4.703008,-9.800059,-3.6036828,-4.238377,dangdut
KISINAN 2 - ARSINTA H ESEK ESK.mp3,-194.62444,189.88524,-25.652876,23.717237,5.3303895,-10.315367,12.863188,-8.197977,-0.9705187,5.362015,-3.714896,-1.9286739,-6.3743863,dangdut
KISINAN 2 - SHINTA ARSINTA (mp3cut.net).mp3,-177.56795,201.1303,-37.599487,20.887255,2.0377448,-8.369141,16.813677,-12.133246,-0.4977103,6.7817173,-3.9965012,3.3835616,-4.2561255,dangdut
LAILA AYU KDI ft IRWAN D'ACADEMY - PENANTIAN BERUJUNG LUKA.mp3,-87.08017,100.659935,17.522306,10.728643,2.7270596,8.434423,-6.617569,-1.4461728,-2.0811465,-3.2864602,7.808923,-4.0026145,2.019438,dangdut
Merayu Tuhan - Shinta(Official Music Video).mp3,-170.5179,197.14803,-27.941374,33.641376,6.485584,-9.088298,15.160575,-7.1391244,-0.57621485,-1.2722809,-7.845611,-1.5242212,-5.0418944,dangdut
Nella Kharisma Runtah (Dangdut) (mp3cut.net).mp3,-26.905153,77.98188,0.042822115,17.389399,-0.7770817,-1.6332604,-1.8167622,1.2934532,-5.3374567,4.2274756,-4.2770877,8.004124,-2.313594,dangdut
Ressa Rungkad Happy Asmara Cover (mp3cut.net).mp3,-27.817368,93.34222,5.2833533,18.00204,10.488777,8.876142,9.252612,5.428742,6.156336,5.0341697,-5.996662,3.1639132,-2.1416118,dangdut
